PAIR of
Id1 Id2
17654 74396
17698 63985
17757 65377
17788 31196
17790 42466
17803 78030
17805 41739
17819 32955
17829 77749
17837 71254
17862 53822
17875 63306
17884 52700
17887 18552
17890 35506
17914 72684
17942 55766
17955 89712
17958 70101
17963 83558
17967 91262
17999 40306
18013 51275
18017 60312
18018 67014
18032 83640
18101 30927
18109 74459
18115 68758
18124 59316
18144 43672
18160 21963
18198 64156
18202 42045
18208 18239
18209 40573
18234 36257
18243 88027
18251 66914
18351 79718
18356 92678
18383 55886
18387 62675
18423 37301
18435 82524
18444 27717
18446 19969
18459 54341
18465 66779
18469 55708
18488 78735
18527 56523
18553 87498
18575 66054
18576 88810
18597 56966
18604 72033
18606 42681
18614 32060
18682 52502
18706 62006
18769 50254
18801 21446
18826 33159
18867 71518
18901 78824
18950 80931
18952 53631
18963 40177
18968 89542
18973 70298
18978 36010
18982 34002
18997 32721
18999 34187
19004 43736
19007 71793
19071 51090
19139 50075
19140 62403
19151 20009
19167 88238
19192 67016
19201 35126
19211 49279
19217 29665
19246 26332
19263 75251
19298 38019
19352 85962
19381 36552
19482 90529
19494 65428
19512 41951
19537 37277
19542 58120
19565 39489
19569 82110
19578 69765
19604 44319
19655 38595
19658 32433
19667 70973
19725 33559
19769 39505
19789 87893
19791 65974
19805 30515
19856 74054
19886 70846
19893 57253
19914 33498
19936 85508
19945 55814
19971 68503
20014 32053
20020 53154
20031 46051
20033 39488
20054 31064
20131 23558
20135 22473
20178 53068
20203 79483
20229 41014
20232 28586
20234 58726
20248 87094
20255 54512
20294 76681
20300 76939
20301 20753
20303 68659
20316 80990
20327 91245
20337 46627
20342 38880
20344 70963
20390 33467
20410 38338
20416 86928
20443 58543
20448 32739
20510 29016
20522 85510
20534 47558
20541 74050
20554 46590
20620 76574
20629 80957
20633 66830
20646 76266
20652 86955
20664 92286
20666 79677
20667 49948
20675 40989
20683 31592
20688 88818
20696 65131
20756 31036
20766 35946
20788 58415
20797 72048
20845 55840
20852 62697
20889 50142
20890 53067
20966 56290
20972 58450
20978 54638
20980 26180
20984 38992
20991 48091
21020 53602
21045 74771
21093 82646
21097 89111
21121 31616
21128 30940
21143 83617
21144 52240
21148 71394
21158 36313
21162 34158
21167 75860
21203 40256
21213 68030
21242 63134
21330 76938
21358 34473
21373 55288
21381 82667
21399 51300
21407 54710
21426 80492
21450 74960
21500 45736
21511 85495
21517 91746
21527 52222
21541 77958
21560 43520
21611 60613
21616 58366
21630 28264
21688 82278
21722 56974
21729 33861
21747 40639
21768 75146
21784 23506
21818 70810
21842 44935
21853 52030
21860 64986
21942 53327
21968 34070
21999 61131
22036 85234
22045 79019
22079 23616
22140 70357
22146 23172
22160 58855
22190 78706
22193 37791
22228 52852
22268 83019
22279 53464
22376 74923
22385 82731
22393 54635
22400 24851
22403 64543
22451 50061
22474 51671
22481 73694
22540 56190
22556 77110
22594 53447
22608 25642
22644 28032
22666 53702
22743 78701
22748 63214
22783 82512
22815 36352
22837 76843
22848 73670
22850 53022
22853 70227
22885 91710
22891 84826
22919 62470
22922 72701
22928 50324
22982 46289
23071 70236
23114 65760
23124 30303
23132 87928
23134 68119
23152 52399
23156 73517
23160 53001
23161 79776
23188 68192
23287 23501
23288 90068
23309 79645
23332 27321
23375 59518
23383 87320
23395 39428
23414 61641
23455 34178
23463 89455
23497 30302
23518 42605
23549 58340
23554 37008
23566 62420
23578 70327
23599 75103
23617 34046
23626 61546
23627 75282
23664 66654
23712 48305
23718 80594
23751 33109
23786 52369
23796 54888
23802 65221
23810 50486
23820 30378
23842 65870
23853 76800
23875 48350
23883 47445
23901 65215
23916 57615
23942 61313
23943 51260
23983 89021
23985 71962
24016 56115
24055 27310
24072 32195
24074 56633
24081 85101
24098 50964
24113 73728
24118 58861
24124 24895
24141 92422
24157 87359
24166 37553
24179 87954
24219 52235
24231 53691
24245 62887
24251 45885
24261 83393
24272 87491
24349 62366
24368 29194
24369 53194
24386 77389
24390 44871
24399 29128
24400 83554
24422 63317
24455 47468
24461 79893
24466 79977
24484 72789
24500 42074
24560 90651
24580 45703
24613 86508
24620 75279
24669 50652
24730 41907
24737 89779
24745 40107
24748 46350
24780 91357
24784 55602
24841 64669
24843 34292
24862 48133
24882 49073
24917 76189
24930 59233
24949 70614
24956 42869
24975 46777
25018 59369
25045 65172
25046 41120
25054 32794
25085 30677
25110 53493
25112 88300
25117 35614
25174 82867
25179 53674
25211 82462
25256 52269
25268 75318
25313 87937
25373 34551
25379 91714
25418 69123
25428 64682
25438 49038
25444 44481
25453 44046
25490 37826
25546 86367
25556 64520
25589 62382
